coil,mu_real,mu_imag,std_real,std_imag,abs_mu_over_sigma
0.000000e+00,-2.918464e-09,-9.009243e-09,1.896127e-08,2.208321e-08,3.253493e-01
1.000000e+00,-2.197049e-09,-6.886976e-09,1.336705e-08,1.622727e-08,3.438280e-01
2.000000e+00,-5.198440e-09,-1.500433e-08,2.467365e-08,3.004478e-08,4.084327e-01
3.000000e+00,-2.420296e-09,-9.990104e-09,1.609539e-08,2.194462e-08,3.776933e-01
4.000000e+00,-3.293782e-09,-9.987398e-09,1.741859e-08,2.095320e-08,3.859439e-01
5.000000e+00,-3.524068e-09,-9.867356e-09,1.712898e-08,2.024581e-08,3.950790e-01
6.000000e+00,-3.678676e-09,-1.083295e-08,2.245524e-08,2.605631e-08,3.325905e-01
7.000000e+00,-2.502961e-09,-6.869771e-09,1.623769e-08,1.829922e-08,2.988478e-01
8.000000e+00,-2.466777e-09,-9.195300e-09,1.522118e-08,1.988925e-08,3.801132e-01
9.000000e+00,-1.982694e-09,-7.344868e-09,1.390301e-08,1.749622e-08,3.404150e-01
1.000000e+01,-2.887973e-09,-8.150506e-09,1.873974e-08,2.137059e-08,3.042134e-01
1.100000e+01,-2.471836e-09,-7.940438e-09,1.542644e-08,1.851465e-08,3.450722e-01
1.200000e+01,-3.627575e-09,-1.018868e-08,1.868929e-08,2.169866e-08,3.776419e-01
1.300000e+01,-4.125168e-09,-1.127278e-08,2.084671e-08,2.440603e-08,3.739711e-01
1.400000e+01,-2.806935e-09,-9.304363e-09,1.638539e-08,2.080646e-08,3.669484e-01
1.500000e+01,-2.665286e-09,-8.436143e-09,1.731923e-08,2.041261e-08,3.304762e-01
1.600000e+01,-6.892042e-09,-1.819214e-08,3.104206e-08,3.620796e-08,4.078896e-01
1.700000e+01,-3.594010e-09,-9.085852e-09,1.767995e-08,2.017764e-08,3.641961e-01
1.800000e+01,-2.272018e-09,-8.327896e-09,1.597379e-08,1.988409e-08,3.384314e-01
1.900000e+01,-2.635617e-09,-1.028006e-08,1.664402e-08,2.268289e-08,3.771972e-01
2.000000e+01,-2.384636e-09,-5.787104e-09,1.553465e-08,1.577518e-08,2.826948e-01
2.100000e+01,-2.020656e-09,-4.683280e-09,1.298986e-08,1.260672e-08,2.817618e-01
2.200000e+01,-2.837659e-09,-6.757840e-09,1.813125e-08,1.834152e-08,2.841797e-01
2.300000e+01,-1.783943e-09,-4.303514e-09,1.139797e-08,1.117992e-08,2.917701e-01
2.400000e+01,-1.939441e-09,-5.145337e-09,1.283691e-08,1.356383e-08,2.944237e-01
2.500000e+01,-2.090281e-09,-6.359666e-09,1.428333e-08,1.619916e-08,3.099547e-01
2.600000e+01,-2.485031e-09,-6.901322e-09,1.674344e-08,1.815638e-08,2.969780e-01
2.700000e+01,-1.705534e-09,-5.418099e-09,1.181199e-08,1.344689e-08,3.173455e-01
2.800000e+01,-2.771017e-09,-7.554283e-09,1.826402e-08,1.981110e-08,2.986104e-01
2.900000e+01,-1.616198e-09,-4.205208e-09,1.105483e-08,1.164842e-08,2.805145e-01
3.000000e+01,-3.153777e-09,-9.771503e-09,2.092767e-08,2.371779e-08,3.246061e-01
3.100000e+01,-2.189549e-09,-5.696580e-09,1.471252e-08,1.542133e-08,2.863220e-01
