coil,mu_real,mu_imag,std_real,std_imag,abs_mu_over_sigma
0.000000e+00,-3.102340e-09,-8.869246e-09,1.928669e-08,2.176925e-08,3.230595e-01
1.000000e+00,-2.566249e-09,-7.072433e-09,1.369435e-08,1.605928e-08,3.564627e-01
2.000000e+00,-4.833892e-09,-1.185110e-08,2.424772e-08,2.578492e-08,3.615942e-01
3.000000e+00,-2.684271e-09,-9.401178e-09,1.633462e-08,2.078388e-08,3.698375e-01
4.000000e+00,-3.467240e-09,-9.303993e-09,1.755518e-08,1.954167e-08,3.779614e-01
5.000000e+00,-3.663632e-09,-9.199639e-09,1.716537e-08,1.889900e-08,3.878417e-01
6.000000e+00,-3.728872e-09,-9.910451e-09,2.279273e-08,2.477208e-08,3.145467e-01
7.000000e+00,-2.706380e-09,-7.023362e-09,1.654675e-08,1.838759e-08,3.042642e-01
8.000000e+00,-2.764881e-09,-8.755859e-09,1.544826e-08,1.865441e-08,3.790849e-01
9.000000e+00,-2.293262e-09,-7.498880e-09,1.405748e-08,1.729807e-08,3.517905e-01
1.000000e+01,-3.021552e-09,-8.148648e-09,1.906239e-08,2.129126e-08,3.040997e-01
1.100000e+01,-2.757376e-09,-7.966720e-09,1.569579e-08,1.828079e-08,3.498746e-01
1.200000e+01,-3.777853e-09,-9.541858e-09,1.887831e-08,2.067801e-08,3.665122e-01
1.300000e+01,-4.083841e-09,-9.892415e-09,2.080332e-08,2.221856e-08,3.516014e-01
1.400000e+01,-3.057629e-09,-8.610273e-09,1.663053e-08,1.917237e-08,3.599933e-01
1.500000e+01,-2.893969e-09,-8.298300e-09,1.761966e-08,1.999281e-08,3.297740e-01
1.600000e+01,-5.832066e-09,-1.320717e-08,2.974746e-08,3.035338e-08,3.396996e-01
1.700000e+01,-3.721377e-09,-8.722489e-09,1.777513e-08,1.936028e-08,3.608016e-01
1.800000e+01,-2.529454e-09,-8.247469e-09,1.617648e-08,1.948445e-08,3.406326e-01
1.900000e+01,-2.882936e-09,-9.346976e-09,1.693416e-08,2.096957e-08,3.628891e-01
2.000000e+01,-2.635845e-09,-6.134184e-09,1.576757e-08,1.594439e-08,2.977253e-01
2.100000e+01,-2.319372e-09,-5.062450e-09,1.325966e-08,1.282523e-08,3.018411e-01
2.200000e+01,-3.021064e-09,-7.020923e-09,1.840116e-08,1.847920e-08,2.930783e-01
2.300000e+01,-2.145004e-09,-4.757029e-09,1.162555e-08,1.144363e-08,3.198669e-01
2.400000e+01,-2.271078e-09,-5.548338e-09,1.305230e-08,1.379270e-08,3.156922e-01
2.500000e+01,-2.378168e-09,-6.647159e-09,1.448032e-08,1.628620e-08,3.239370e-01
2.600000e+01,-2.712853e-09,-7.193011e-09,1.698256e-08,1.836411e-08,3.073319e-01
2.700000e+01,-2.066024e-09,-5.895081e-09,1.194086e-08,1.372620e-08,3.433310e-01
2.800000e+01,-2.978787e-09,-7.732268e-09,1.859180e-08,1.998280e-08,3.035785e-01
2.900000e+01,-1.982138e-09,-4.639334e-09,1.120409e-08,1.191352e-08,3.084642e-01
3.000000e+01,-3.270924e-09,-9.561276e-09,2.119614e-08,2.341439e-08,3.199459e-01
3.100000e+01,-2.458518e-09,-6.066081e-09,1.493920e-08,1.565799e-08,3.024313e-01
