coil,mu_real,mu_imag,std_real,std_imag,abs_mu_over_sigma
0.000000e+00,4.775056e-09,6.067116e-10,1.544486e-08,1.567341e-08,2.187380e-01
1.000000e+00,3.120165e-09,4.604004e-10,1.109343e-08,1.118417e-08,2.002028e-01
2.000000e+00,4.441949e-09,-9.095537e-10,1.824623e-08,1.781901e-08,1.777753e-01
3.000000e+00,3.888015e-09,-3.253522e-10,1.346694e-08,1.452874e-08,1.969397e-01
4.000000e+00,3.178493e-09,-7.353586e-10,1.344194e-08,1.347845e-08,1.713776e-01
5.000000e+00,3.012621e-09,-8.079896e-10,1.305964e-08,1.304408e-08,1.689729e-01
6.000000e+00,5.812498e-09,6.016585e-10,1.812168e-08,1.776423e-08,2.302658e-01
7.000000e+00,4.529998e-09,1.350057e-09,1.368907e-08,1.371065e-08,2.439620e-01
8.000000e+00,3.335340e-09,-4.388186e-10,1.239733e-08,1.279543e-08,1.888111e-01
9.000000e+00,3.441603e-09,5.577409e-10,1.166360e-08,1.238585e-08,2.049174e-01
1.000000e+01,5.051896e-09,1.145067e-09,1.571338e-08,1.585652e-08,2.320337e-01
1.100000e+01,3.853941e-09,4.237291e-10,1.272584e-08,1.297460e-08,2.133263e-01
1.200000e+01,3.869918e-09,-3.860104e-10,1.445563e-08,1.465520e-08,1.889212e-01
1.300000e+01,4.323248e-09,-3.199541e-10,1.599190e-08,1.560358e-08,1.940145e-01
1.400000e+01,3.720335e-09,-2.301540e-10,1.322801e-08,1.328587e-08,1.988058e-01
1.500000e+01,4.442074e-09,5.116123e-10,1.425015e-08,1.433543e-08,2.212035e-01
1.600000e+01,5.945429e-09,1.887834e-10,2.199010e-08,2.101382e-08,1.955613e-01
1.700000e+01,3.536196e-09,3.951924e-11,1.367785e-08,1.370092e-08,1.826593e-01
1.800000e+01,4.080362e-09,4.096073e-10,1.327931e-08,1.403821e-08,2.122069e-01
1.900000e+01,4.094298e-09,-3.520920e-10,1.389485e-08,1.470901e-08,2.030825e-01
2.000000e+01,3.901666e-09,1.460950e-09,1.279434e-08,1.201615e-08,2.373468e-01
2.100000e+01,3.141983e-09,1.701566e-09,1.091354e-08,9.903301e-09,2.424437e-01
2.200000e+01,4.509389e-09,1.316484e-09,1.478123e-08,1.393956e-08,2.312009e-01
2.300000e+01,2.461232e-09,1.520022e-09,9.562057e-09,8.772271e-09,2.229093e-01
2.400000e+01,3.136745e-09,1.494333e-09,1.085449e-08,1.039196e-08,2.312012e-01
2.500000e+01,3.522761e-09,1.209122e-09,1.201984e-08,1.211493e-08,2.182276e-01
2.600000e+01,4.372247e-09,1.160780e-09,1.370280e-08,1.356253e-08,2.346231e-01
2.700000e+01,2.797098e-09,1.150784e-09,9.885090e-09,9.860776e-09,2.166067e-01
2.800000e+01,4.939591e-09,1.170995e-09,1.489160e-08,1.460135e-08,2.433990e-01
2.900000e+01,2.658728e-09,1.594992e-09,9.268102e-09,8.986026e-09,2.401564e-01
3.000000e+01,5.202497e-09,6.307420e-10,1.700723e-08,1.741669e-08,2.152714e-01
3.100000e+01,3.761615e-09,1.510917e-09,1.229825e-08,1.184416e-08,2.374026e-01
