coil,mu_real,std_real,mu_imag,std_imag
0,-1.818170e-11,2.554114e-08,2.579705e-11,2.553737e-08
1,-2.019012e-11,1.739512e-08,2.067712e-11,1.740638e-08
2,-1.300474e-11,2.665265e-08,2.256155e-11,2.666148e-08
3,-2.598315e-12,2.070812e-08,-1.604800e-11,2.075362e-08
4,5.074517e-12,1.956372e-08,-1.399671e-11,1.956296e-08
5,4.901303e-12,1.861766e-08,1.575883e-11,1.861111e-08
6,1.437927e-11,2.966057e-08,1.551520e-11,2.964067e-08
7,-2.615475e-11,2.249185e-08,-2.345717e-12,2.249323e-08
8,-2.789251e-12,1.838010e-08,1.412213e-11,1.837587e-08
9,-1.429904e-12,1.854318e-08,6.609404e-12,1.852955e-08
10,1.536711e-11,2.543997e-08,-1.200009e-11,2.543996e-08
11,8.358291e-12,2.004616e-08,-1.523039e-11,2.005696e-08
12,7.342141e-12,2.203182e-08,1.492401e-11,2.203779e-08
13,2.765027e-12,2.423152e-08,3.506601e-11,2.422649e-08
14,1.610118e-11,2.003732e-08,2.839654e-11,2.004901e-08
15,-9.551642e-12,2.303260e-08,3.265955e-11,2.300472e-08
16,-4.250364e-11,3.389669e-08,4.619041e-11,3.389295e-08
17,-8.066704e-12,2.082965e-08,2.070404e-11,2.082653e-08
18,1.467702e-11,2.171853e-08,3.323209e-11,2.172282e-08
19,1.329667e-11,2.168383e-08,-1.696666e-12,2.166213e-08
20,9.809243e-12,2.024275e-08,1.605068e-12,2.023985e-08
21,6.169026e-12,1.640487e-08,-4.227545e-12,1.639242e-08
22,-3.746831e-12,2.395414e-08,-1.885711e-12,2.395807e-08
23,-5.015869e-13,1.398125e-08,-2.756293e-12,1.399381e-08
24,-4.924427e-12,1.720318e-08,1.685072e-11,1.720690e-08
25,-7.160095e-12,1.928485e-08,-2.790216e-12,1.927008e-08
26,1.842165e-12,2.278556e-08,1.624738e-13,2.277241e-08
27,5.815657e-12,1.573381e-08,1.343855e-11,1.573902e-08
28,1.321736e-11,2.467674e-08,1.665195e-11,2.467837e-08
29,7.093178e-12,1.495271e-08,-5.191612e-12,1.493384e-08
30,-7.501986e-12,2.788368e-08,-1.072299e-11,2.788119e-08
31,2.480644e-12,1.983754e-08,1.112727e-11,1.983873e-08
